Zipcode,Lat,Long
518135,15.2245,78.4525
523315,15.7321,79.3578
523326,15.9705,79.4929
523368,15.473,79.0306
518176,15.4333,78.259
518124,15.3071,78.2704
523305,15.8292,79.4479
523335,15.6633,78.9062
523370,15.5722,79.1661
518502,15.5373,78.7023
523331,16.014,78.9741
523336,15.6117,79.0306
523320,15.8203,79.2677
518573,15.3057,78.4638
523346,15.3972,79.1323
523333,15.7164,79.0419
518510,15.2917,78.5263
518583,15.3745,78.6796
518122,15.2271,78.0652
523334,15.4995,79.0984
523332,15.6792,79.2226
523327,16.0985,79.2677
518155,15.0949,78.3956
518512,15.4962,78.5774
523367,15.2649,78.793
518553,15.0035,78.6342
518594,15.2338,78.6342
518511,15.5364,78.4638
523329,15.7672,79.1323
518513,15.608,78.5093
518166,15.0285,78.2248
518674,15.367,78.424
518593,15.3749,78.4638
523369,15.2899,78.9458
518563,15.3378,78.5263
523371,15.6472,79.2789
523316,15.7222,79.2733
518501,15.4853,78.4809
516339,14.5394,78.5434
516421,14.492,78.2818
516454,14.6226,78.145
516396,14.5045,78.0766
516350,14.4977,78.3956
516356,14.7462,78.6626
516434,14.8081,78.407
516293,14.5363,78.7136
516172,14.7441,78.7363
516355,14.6707,78.6455
516321,14.4552,78.4638
516484,14.5332,78.1906
516390,14.4416,78.1906
516362,14.7374,78.6001
516289,14.5898,78.6342
516359,14.8609,78.5434
516411,14.9374,78.4638
516175,15.0125,78.8156
516474,14.8859,78.1336
516432,14.9728,78.259
516401,14.5837,78.2818
516433,14.9292,78.3046
516349,14.3448,78.3159
516431,14.9097,78.3728
516380,14.668,78.3615
516218,14.4608,78.5774
516464,14.7046,78.1792
516310,14.6628,78.4866
516312,14.7372,78.4809
516444,14.7552,78.2704
516360,14.734,78.532
516216,14.4085,78.6796
516173,14.7923,78.7816
516309,14.5917,78.4411
516311,14.657,78.4567
516439,14.8428,78.2989
516329,14.3636,78.4638
517507,13.6761,79.4366
517643,13.5613,79.6951
517592,13.354,79.5098
517589,13.3605,79.8073
517587,13.3923,79.7289
517591,13.355,79.6727
517640,13.7611,79.6895
517214,13.7368,78.9967
517536,13.8467,79.6839
517645,13.715,79.8185
517571,13.4972,79.5266
517582,13.3784,79.4141
517588,13.4572,79.9417
517291,13.7202,78.6342
517641,13.7085,79.6614
517619,13.7604,79.5379
517551,13.5702,79.4985
517236,13.8199,78.8156
517581,13.4314,79.6997
